timestamp,method,path,status_code,duration_ms
2026-08-07T12:05:13+00:00,POST,/load-samples,302,3654.3
2026-08-07T12:05:13+00:00,GET,/,200,15.0
2026-08-07T12:05:13+00:00,GET,/health,200,0.0
2026-08-07T12:05:13+00:00,POST,/ask,200,9.0
2026-08-07T12:05:19+00:00,GET,/,200,7.0
2026-08-07T12:05:59+00:00,POST,/load-samples,302,3.0
2026-08-07T12:05:59+00:00,GET,/,200,8.3
2026-08-07T12:06:02+00:00,GET,/ask,200,3.2
2026-08-07T12:06:11+00:00,POST,/ask,200,436.3
2026-08-07T12:06:22+00:00,POST,/ask,200,0.0
2026-08-08T11:14:12+00:00,GET,/,200,62066.4
